exam_year,exam_wareki,question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,correct,is_exempt,is_invalidated,note,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point,related_links
20082,平成20年度 第2回,1,single,貨物自動車運送事業法関係,,一般貨物自動車運送事業に関する次の記述のうち、誤っているものはどれか。,,,,,,一般貨物自動車運送事業の許可を受けようとする者は、国土交通大臣に提出しなければならない申請書に事業用自動車の運行管理の体制その他の国土交通省令で定める事項を記載した書類を添付しなければならない。,一般貨物自動車運送事業者は、事業用自動車に関する国土交通省令で定める事業計画の変更をするときは、あらかじめその旨を、国土交通省令で定める軽微な事項に関する事業計画の変更をしたときは、遅滞なくその旨を、国土交通大臣に届け出なければならない。,国土交通大臣は、一般貨物自動車運送事業の適正かつ合理的な運営を確保するため必要があると認めるときは、一般貨物自動車運送事業者に対し、貨物の運送に関し生じた損害を賠償するために必要な金額を担保することができる保険契約を締結することを命ずることができる。,一般貨物自動車運送事業者は、運賃及び料金を定め又は変更するときは、あらかじめ所定の事項を記載した運賃料金設定 ( 変更 ) 届出書を所轄地方運輸局長に提出しなければならない。,,,,,4,FALSE,FALSE,,１．許可申請書に運行管理体制等を記載した書類を添付することは正しい。２．事業計画の変更は、原則あらかじめ届出、軽微な事項は遅滞なく届出でよい。３．必要な損害賠償能力を担保する保険契約の締結命令に関する記述として正しい。４．運賃及び料金は、定め又は変更した後に届け出る制度であり、「あらかじめ」提出するとする点が誤りである。,１．許可申請書に運行管理体制等を記載した書類を添付することは正しい。２．事業計画の変更は、原則あらかじめ届出、軽微な事項は遅滞なく届出でよい。３．必要な損害賠償能力を担保する保険契約の締結命令に関する記述として正しい。４．運賃及び料金は、定め又は変更した後に届け出る制度であり、「あらかじめ」提出するとする点が誤りである。,運賃及び料金は、定め又は変更した後に届け出る制度であり、「あらかじめ」提出するとする点が誤りである。,1:（1）「一般貨物自動車運送事業の許可を受けようとする者は、国土交通大臣に提出しなければならない申請書に事業用自動車の運行管理の体制その他の国土交通省令で定める事項を記載…」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「一般貨物自動車運送事業者は、運賃及び料金を定め又は変更するときは、あらかじめ所定の事項を記載した運賃料金設定 ( 変更 ) 届出書を所轄地方運輸局長に提出しなけ…」です。問題文の条件（一般貨物自動車運送事業に関する次の記述のうち、誤っているものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;2:事業計画の変更は、原則あらかじめ届出、軽微な事項は遅滞なく届出でよい。 選択肢（2）「一般貨物自動車運送事業者は、事業用自動車に関する国土交通省令で定める事業計画の変更をするときは、あらかじめその旨を、国土交通省令で定める軽微な事…」は本問の正答（4）とは異なるため不適です。;3:（3）「国土交通大臣は、一般貨物自動車運送事業の適正かつ合理的な運営を確保するため必要があると認めるときは、一般貨物自動車運送事業者に対し、貨物の運送に関し生じた損害を…」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「一般貨物自動車運送事業者は、運賃及び料金を定め又は変更するときは、あらかじめ所定の事項を記載した運賃料金設定 ( 変更 ) 届出書を所轄地方運輸局長に提出しなけ…」です。問題文の条件（一般貨物自動車運送事業に関する次の記述のうち、誤っているものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。,,
20082,平成20年度 第2回,2,single,貨物自動車運送事業法関係,,次の記述のうち、一般貨物自動車運送事業の運行管理者の業務として、正しいものはどれか。,,,,,,事業計画に従い業務を行うに必要な員数の事業用自動車の運転者を常時選任しておくこと。,一般貨物自動車運送事業者に対し、事業用自動車の運行の安全の確保に関して緊急を要する事項に限り、遅滞なく、助言を行うこと。,事業用自動車に係る事故が発生した場合には、事故の発生日時等所定の事項を記録し、その記録を当該事業用自動車の運行を管理する営業所において１年間保存すること。,事業用自動車に備えられた非常信号用具及び消火器の取扱いについて、当該事業用自動車の乗務員に対する適切な指導を行うこと。,,,,,4,FALSE,FALSE,,１．必要な運転者を常時選任しておくことは事業者の義務であり、運行管理者の業務ではない。２．運行管理者の助言は緊急事項に限られず、必要な助言を行う。３．事故記録の保存期間は１年ではなく３年である。４．非常信号用具及び消火器の取扱いについて乗務員を指導することは、運行管理者の業務である。,１．必要な運転者を常時選任しておくことは事業者の義務であり、運行管理者の業務ではない。２．運行管理者の助言は緊急事項に限られず、必要な助言を行う。３．事故記録の保存期間は１年ではなく３年である。４．非常信号用具及び消火器の取扱いについて乗務員を指導することは、運行管理者の業務である。,非常信号用具及び消火器の取扱いについて乗務員を指導することは、運行管理者の業務である。,1:必要な運転者を常時選任しておくことは事業者の義務であり、運行管理者の業務ではない。;2:運行管理者の助言は緊急事項に限られず、必要な助言を行う。 選択肢（2）「一般貨物自動車運送事業者に対し、事業用自動車の運行の安全の確保に関して緊急を要する事項に限り、遅滞なく、助言を行うこと。」は本問の正答（4）とは異なるため不適です。;3:事故記録の保存期間は１年ではなく３年である。 選択肢（3）「事業用自動車に係る事故が発生した場合には、事故の発生日時等所定の事項を記録し、その記録を当該事業用自動車の運行を管理する営業所において１年間保存…」は本問の正答（4）とは異なるため不適です。,,
20082,平成20年度 第2回,3,single,貨物自動車運送事業法関係,,貨物自動車運送事業者における過労運転の防止に関する次の文中、Ａ・Ｂ・Ｃ・Ｄに入るべき語句の組合せとして、正しいものはどれか。事業者は、休憩又は睡眠のための時間及び勤務が終了した後の休息のための時間が十分に確保されるように、国土交通大臣が告示で定める基準に従って、運転者の（Ａ）及び（Ｂ）を定め、当該運転者にこれらを遵守させなければならない。また、事業者は、乗務員が（Ｃ）することができるように、休憩に必要な施設を整備し、及び乗務員に睡眠を与える必要がある場合にあっては睡眠に必要な施設を整備し、並びにこれらの施設を適切に管理し、及び（Ｄ）しなければならない。Ａ Ｂ Ｃ Ｄ,,,,,,勤務時間 乗務時間 有効に利用 保守,拘束時間 休憩時間 有効に利用 活用,拘束時間 乗務時間 疲労を回復 活用,勤務時間 休憩時間 疲労を回復 保守,,,,,1,FALSE,FALSE,,過労運転防止のため、事業者は告示基準に従い、運転者の勤務時間及び乗務時間を定めて遵守させる必要がある。また、休憩施設・睡眠施設は乗務員が有効に利用できるよう整備し、適切に管理・保守しなければならない。したがってＡ勤務時間、Ｂ乗務時間、Ｃ有効に利用、Ｄ保守の組合せが正しい。,過労運転防止のため、事業者は告示基準に従い、運転者の勤務時間及び乗務時間を定めて遵守させる必要がある。また、休憩施設・睡眠施設は乗務員が有効に利用できるよう整備し、適切に管理・保守しなければならない。したがってＡ勤務時間、Ｂ乗務時間、Ｃ有効に利用、Ｄ保守の組合せが正しい。,過労運転防止のため、事業者は告示基準に従い、運転者の勤務時間及び乗務時間を定めて遵守させる必要がある。また、休憩施設・睡眠施設は乗務員が有効に利用できるよう整備し、適切に管理・保守しなければならない。したがってＡ勤務時間、Ｂ乗務時間、Ｃ有効に利用、Ｄ保守の組合せが正しい。,2:（2）の内容は、正答（1）「勤務時間 乗務時間 有効に利用 保守」が示す論点とずれています。 解説の要点：過労運転防止のため、事業者は告示基準に従い、運転者の勤務時間及び乗務時間を定めて遵守させる必要がある。また、休憩施設・睡眠施設は乗務員が有効に利用できるよう整備し、適切に管理・保守しなければならない。したがってＡ勤務時間、Ｂ乗務時間、Ｃ有効に利用、Ｄ保守の組合せが正しい。 正答（1）との違いを確認し直してください。;3:（3）の内容は、正答（1）「勤務時間 乗務時間 有効に利用 保守」が示す論点とずれています。 解説の要点：過労運転防止のため、事業者は告示基準に従い、運転者の勤務時間及び乗務時間を定めて遵守させる必要がある。また、休憩施設・睡眠施設は乗務員が有効に利用できるよう整備し、適切に管理・保守しなければならない。したがってＡ勤務時間、Ｂ乗務時間、Ｃ有効に利用、Ｄ保守の組合せが正しい。 正答（1）との違いを確認し直してください。;4:（4）の内容は、正答（1）「勤務時間 乗務時間 有効に利用 保守」が示す論点とずれています。 解説の要点：過労運転防止のため、事業者は告示基準に従い、運転者の勤務時間及び乗務時間を定めて遵守させる必要がある。また、休憩施設・睡眠施設は乗務員が有効に利用できるよう整備し、適切に管理・保守しなければならない。したがってＡ勤務時間、Ｂ乗務時間、Ｃ有効に利用、Ｄ保守の組合せが正しい。 正答（1）との違いを確認し直してください。,,
20082,平成20年度 第2回,4,single,貨物自動車運送事業法関係,,事業用自動車の運転者に対する点呼に関しての次の記述のうち、正しいものはどれか。ただし、国土交通大臣が定めた機器による点呼を除くものとする。,,,,,,乗務前の点呼は、対面（運行上やむを得ない場合は電話その他の方法）により行い、疾病、疲労、飲酒その他の理由により安全な運転をすることができないおそれの有無及び道路運送車両法の規定による日常点検整備又は定期点検整備の実施について報告を求め、事業用自動車の運行の安全を確保するために必要な指示をしなければならない。,乗務後の点呼は、対面（運行上やむを得ない場合は電話その他の方法）により行い、当該乗務に係る事業用自動車、道路及び運行の状況並びに他の運転者と交替した場合にあっては、交替した運転者に対して行った当該乗務に係る通告について報告を求めなければならない。,乗務前又は乗務後の点呼のいずれかが対面で行うことができない乗務を行う運転者に対し、当該乗務の途中において少なくとも１回電話その他の方法により点呼を行い、所定事項について報告を求め、事業用自動車の運行の安全を確保するために必要な指示をしなければならない。,運転者に対し、点呼を行い、報告を求め、指示をしたときは、運転者ごとに点呼を行った旨、報告及び指示の内容並びに所定の事項を記録し、かつ、その記録を３年間保存しなければならない。,,,,,2,FALSE,FALSE,,１．乗務前点呼で確認するのは日常点検の実施又は確認であり、定期点検整備ではない。２．乗務後点呼では、事業用自動車、道路及び運行の状況、交替運転者への通告について報告を求める。３．中間点呼が必要なのは、乗務前及び乗務後のいずれも対面で行えない運行の場合である。４．点呼記録の保存期間は１年であり、３年ではない。,１．乗務前点呼で確認するのは日常点検の実施又は確認であり、定期点検整備ではない。２．乗務後点呼では、事業用自動車、道路及び運行の状況、交替運転者への通告について報告を求める。３．中間点呼が必要なのは、乗務前及び乗務後のいずれも対面で行えない運行の場合である。４．点呼記録の保存期間は１年であり、３年ではない。,乗務後点呼では、事業用自動車、道路及び運行の状況、交替運転者への通告について報告を求める。,1:乗務前点呼で確認するのは日常点検の実施又は確認であり、定期点検整備ではない。;3:中間点呼が必要なのは、乗務前及び乗務後のいずれも対面で行えない運行の場合である。;4:点呼記録の保存期間は１年であり、３年ではない。 選択肢（4）「運転者に対し、点呼を行い、報告を求め、指示をしたときは、運転者ごとに点呼を行った旨、報告及び指示の内容並びに所定の事項を記録し、かつ、その記録を…」は本問の正答（2）とは異なるため不適です。,,
20082,平成20年度 第2回,5,single,貨物自動車運送事業法関係,,一般貨物自動車運送事業者が自動車事故報告規則に基づき国土交通大臣に報告しなければならないものとしての次の記述のうち、報告を要しないものはどれか。,,,,,,事業用自動車が動力伝達装置の故障により運行できなくなった。,事業用自動車が踏切において鉄道車両と接触したが、負傷者は生じなかった。,事業用自動車が走行中、出会い頭による衝突事故を起こし、双方の乗員４名に14日から30日間の通院による医師の治療を要する傷害が生じた。,運転者がくも膜下出血により、事業用自動車の運転を継続することができなくなった。,,,,,3,FALSE,FALSE,,１．動力伝達装置の故障により運行不能となった事故は報告対象である。２．踏切で鉄道車両と接触した事故は、負傷者がなくても報告対象である。３．通院による14日から30日の治療を要する傷害だけでは、事故報告規則上の重傷者に該当せず、報告を要しない。４．運転者の疾病により運転継続不能となった場合は報告対象である。,１．動力伝達装置の故障により運行不能となった事故は報告対象である。２．踏切で鉄道車両と接触した事故は、負傷者がなくても報告対象である。３．通院による14日から30日の治療を要する傷害だけでは、事故報告規則上の重傷者に該当せず、報告を要しない。４．運転者の疾病により運転継続不能となった場合は報告対象である。,通院による14日から30日の治療を要する傷害だけでは、事故報告規則上の重傷者に該当せず、報告を要しない。,1:（1）「事業用自動車が動力伝達装置の故障により運行できなくなった。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「事業用自動車が走行中、出会い頭による衝突事故を起こし、双方の乗員４名に14日から30日間の通院による医師の治療を要する傷害が生じた。」です。問題文の条件（一般貨物自動車運送事業者が自動車事故報告規則に基づき国土交通大臣に報告しなければならないものとし…）と照らし、設問が問う論点に合う肢を選び直してください。;2:踏切で鉄道車両と接触した事故は、負傷者がなくても報告対象である。 選択肢（2）「事業用自動車が踏切において鉄道車両と接触したが、負傷者は生じなかった。」は本問の正答（3）とは異なるため不適です。;4:運転者の疾病により運転継続不能となった場合は報告対象である。 選択肢（4）「運転者がくも膜下出血により、事業用自動車の運転を継続することができなくなった。」は本問の正答（3）とは異なるため不適です。,,
20082,平成20年度 第2回,6,single,貨物自動車運送事業法関係,,一般貨物自動車運送事業者が事業用自動車の運行の安全を確保するために特定の運転者に対して行う特別な指導に関する次の記述のうち、誤っているものはどれか。,,,,,,事故惹起運転者、初任運転者に対する特別な指導は、安全運転の実技２時間を含む所定の事項について合計６時間以上実施する。,事故惹起運転者に対する特別な指導は、当該交通事故を引き起こした後再度トラックに乗務する前に実施する。ただし、やむを得ない事情がある場合には、再度乗務を開始した後１ヵ月以内に実施する。なお、外部の専門的機関における指導講習を受講する予定である場合は、この限りでない。,初任運転者に対する特別な指導は、当該事業者において初めてトラックに乗務する前に実施する。ただし、やむを得ない事情がある場合には、乗務を開始した後１ヵ月以内に実施する。,高齢運転者に対する特別な指導は、国土交通大臣が認定した高齢運転者のための適性診断の結果を踏まえ、個々の運転者の加齢に伴う身体機能の変化の程度に応じたトラックの安全な運転方法等について運転者が自ら考えるよう指導する。この場合、特別な指導は当該適性診断の結果が判明した後１ヵ月以内に実施する。,,,,,1,FALSE,FALSE,,１．事故惹起運転者及び初任運転者への特別指導は、所定事項について実施するものであり、「安全運転の実技２時間を含む合計６時間以上」とする記述が誤りである。２．事故惹起運転者への特別指導は、原則として再度乗務する前に実施する。３．初任運転者への特別指導は、原則として初めて乗務する前に実施する。４．高齢運転者には適性診断結果を踏まえた特別指導を行う。,１．事故惹起運転者及び初任運転者への特別指導は、所定事項について実施するものであり、「安全運転の実技２時間を含む合計６時間以上」とする記述が誤りである。２．事故惹起運転者への特別指導は、原則として再度乗務する前に実施する。３．初任運転者への特別指導は、原則として初めて乗務する前に実施する。４．高齢運転者には適性診断結果を踏まえた特別指導を行う。,事故惹起運転者及び初任運転者への特別指導は、所定事項について実施するものであり、「安全運転の実技２時間を含む合計６時間以上」とする記述が誤りである。,2:事故惹起運転者への特別指導は、原則として再度乗務する前に実施する。 選択肢（2）「事故惹起運転者に対する特別な指導は、当該交通事故を引き起こした後再度トラックに乗務する前に実施する。ただし、やむを得ない事情がある場合には、再度…」は本問の正答（1）とは異なるため不適です。;3:初任運転者への特別指導は、原則として初めて乗務する前に実施する。 選択肢（3）「初任運転者に対する特別な指導は、当該事業者において初めてトラックに乗務する前に実施する。ただし、やむを得ない事情がある場合には、乗務を開始した後…」は本問の正答（1）とは異なるため不適です。;4:高齢運転者には適性診断結果を踏まえた特別指導を行う。 選択肢（4）「高齢運転者に対する特別な指導は、国土交通大臣が認定した高齢運転者のための適性診断の結果を踏まえ、個々の運転者の加齢に伴う身体機能の変化の程度に応…」は本問の正答（1）とは異なるため不適です。,,
20082,平成20年度 第2回,7,single,貨物自動車運送事業法関係,,貨物自動車運送事業法の許可の取消し等に関する次の文中、Ａ・Ｂ・Ｃ・Ｄに入るべき字句の組合せとして、正しいものはどれか。国土交通大臣は、一般貨物自動車運送事業者が貨物自動車運送事業法若しくは同法に基づく命令若しくはこれらに基づく（Ａ）若しくは道路運送法第83条（有償旅客運送の禁止）若しくは第95条（自動車に関する表示）の規定若しくは同法第84条第１項（運送に関する命令）の規定による（Ａ）又は許可若しくは認可に付した（Ｂ）に違反したときは、（Ｃ）以内において期間を定めて（Ｄ）その他の輸送施設の当該事業のための使用の停止若しくは事業の全部若しくは一部の停止を命じ、又は事業の許可を取り消すことができる。Ａ Ｂ Ｃ Ｄ,,,,,,指導 事項 ３ヵ月 営業所,処分 事項 ６ヵ月 営業所,指導 条件 ３ヵ月 自動車,処分 条件 ６ヵ月 自動車,,,,,4,FALSE,FALSE,,貨物自動車運送事業法に基づく処分等に違反した場合、国土交通大臣は、許可又は認可に付した条件違反も含め、６ヵ月以内の期間を定めて自動車その他の輸送施設の使用停止等を命じ、又は許可を取り消すことができる。したがってＡ処分、Ｂ条件、Ｃ６ヵ月、Ｄ自動車が正しい。,貨物自動車運送事業法に基づく処分等に違反した場合、国土交通大臣は、許可又は認可に付した条件違反も含め、６ヵ月以内の期間を定めて自動車その他の輸送施設の使用停止等を命じ、又は許可を取り消すことができる。したがってＡ処分、Ｂ条件、Ｃ６ヵ月、Ｄ自動車が正しい。,貨物自動車運送事業法に基づく処分等に違反した場合、国土交通大臣は、許可又は認可に付した条件違反も含め、６ヵ月以内の期間を定めて自動車その他の輸送施設の使用停止等を命じ、又は許可を取り消すことができる。したがってＡ処分、Ｂ条件、Ｃ６ヵ月、Ｄ自動車が正しい。,1:（1）「指導 事項 ３ヵ月 営業所」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「処分 条件 ６ヵ月 自動車」です。問題文の条件（貨物自動車運送事業法の許可の取消し等に関する次の文中、Ａ・Ｂ・Ｃ・Ｄに入るべき字句の組合せとして…）と照らし、設問が問う論点に合う肢を選び直してください。;2:（2）「処分 事項 ６ヵ月 営業所」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「処分 条件 ６ヵ月 自動車」です。問題文の条件（貨物自動車運送事業法の許可の取消し等に関する次の文中、Ａ・Ｂ・Ｃ・Ｄに入るべき字句の組合せとして…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「指導 条件 ３ヵ月 自動車」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（4）「処分 条件 ６ヵ月 自動車」です。問題文の条件（貨物自動車運送事業法の許可の取消し等に関する次の文中、Ａ・Ｂ・Ｃ・Ｄに入るべき字句の組合せとして…）と照らし、設問が問う論点に合う肢を選び直してください。,,
20082,平成20年度 第2回,8,single,貨物自動車運送事業法関係,,一般貨物自動車運送事業者が作成する運転者台帳に記載しなければならない事項に関する次の記述のうち、法令に定めのないものはどれか。,,,,,,運転者の健康状態,貨物自動車運送事業輸送安全規則第10条第２項の規定に基づく指導の実施及び適性診断の受診の状況,雇入れの年月日及び事業用自動車に初めて乗務した年月日,運転者が転任、退職その他の理由により運転者でなくなった場合には、運転者でなくなった年月日及び理由,,,,,3,FALSE,FALSE,,１．健康状態は運転者台帳の記載事項である。２．特別指導の実施及び適性診断の受診状況は記載事項である。３．雇入れ年月日は記載事項だが、「事業用自動車に初めて乗務した年月日」は法定記載事項ではない。４．運転者でなくなった年月日及び理由は記載事項である。,１．健康状態は運転者台帳の記載事項である。２．特別指導の実施及び適性診断の受診状況は記載事項である。３．雇入れ年月日は記載事項だが、「事業用自動車に初めて乗務した年月日」は法定記載事項ではない。４．運転者でなくなった年月日及び理由は記載事項である。,雇入れ年月日は記載事項だが、「事業用自動車に初めて乗務した年月日」は法定記載事項ではない。,1:（1）「運転者の健康状態」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「雇入れの年月日及び事業用自動車に初めて乗務した年月日」です。問題文の条件（一般貨物自動車運送事業者が作成する運転者台帳に記載しなければならない事項に関する次の記述のうち、…）と照らし、設問が問う論点に合う肢を選び直してください。;2:特別指導の実施及び適性診断の受診状況は記載事項である。 選択肢（2）「貨物自動車運送事業輸送安全規則第10条第２項の規定に基づく指導の実施及び適性診断の受診の状況」は本問の正答（3）とは異なるため不適です。;4:運転者でなくなった年月日及び理由は記載事項である。 選択肢（4）「運転者が転任、退職その他の理由により運転者でなくなった場合には、運転者でなくなった年月日及び理由」は本問の正答（3）とは異なるため不適です。,,
20082,平成20年度 第2回,9,multi,道路運送車両法関係,,自動車の登録等に関する次の記述のうち、誤っているものはどれか。,,,,,,登録自動車について所有者の変更があったときは、新所有者は、その事由があった日から30日以内に、国土交通大臣の行う移転登録の申請をしなければならない。,臨時運行の許可を受けた自動車を運行の用に供する場合には、臨時運行許可番号標及びこれに記載された番号を見やすいように表示し、かつ、臨時運行許可証を備え付けなければならない。この場合において、臨時運行の許可の有効期間は、法令で定める特別な場合を除き、５日をこえてはならない。,登録自動車の使用者は、自動車の用途を廃止したときは、その事由があった日から15日以内に永久抹消登録の申請をしなければならない。,登録自動車は、国土交通省令で定めるところにより、自動車登録番号標及びこれに記載された自動車登録番号を見やすいように表示しなければ、運行の用に供してはならない。,,,,,"1,3",FALSE,FALSE,,１．所有者変更時の移転登録申請は、15日以内に行う必要がある。30日以内ではない。２．臨時運行許可番号標の表示、許可証の備付け、有効期間５日以内の記述は正しい。３．用途廃止の場合に行うのは永久抹消登録とは限らず、一時抹消登録等の手続もあり、記述が不正確である。４．登録番号標及び番号を見やすく表示しなければ運行できない。,,,,,
20082,平成20年度 第2回,10,single,道路運送車両法関係,,自動車の検査等に関する次の記述のうち、誤っているものはどれか。,,,,,,自動車の使用者は、自動車検査証の記載事項について変更があったときは、その事由があった日から15日以内に、当該事項の変更について、国土交通大臣が行う自動車検査証の記入を受けなければならない。,自動車の使用者は、自動車検査証の有効期間の満了後も当該自動車を使用しようとするときは、当該自動車を提示して、国土交通大臣の行う継続検査を受けなければならない。,指定自動車整備事業者が交付した有効な保安基準適合標章を自動車に表示している場合であっても、自動車検査証を備え付けなければ、当該自動車を運行の用に供してはならない。,検査標章には、国土交通省令で定めるところにより、その交付の際の当該自動車検査証の有効期間の満了する時期が表示されている。,,,,,3,FALSE,FALSE,,１．自動車検査証の記載事項に変更があった場合、15日以内に記入を受ける必要がある。２．有効期間満了後も使用する場合は継続検査を受ける必要がある。３．有効な保安基準適合標章を表示している間は、自動車検査証の備付けがなくても一定期間運行できるため、記述が誤りである。４．検査標章には検査証の有効期間満了時期が表示される。,１．自動車検査証の記載事項に変更があった場合、15日以内に記入を受ける必要がある。２．有効期間満了後も使用する場合は継続検査を受ける必要がある。３．有効な保安基準適合標章を表示している間は、自動車検査証の備付けがなくても一定期間運行できるため、記述が誤りである。４．検査標章には検査証の有効期間満了時期が表示される。,有効な保安基準適合標章を表示している間は、自動車検査証の備付けがなくても一定期間運行できるため、記述が誤りである。,1:自動車検査証の記載事項に変更があった場合、15日以内に記入を受ける必要がある。;2:有効期間満了後も使用する場合は継続検査を受ける必要がある。 選択肢（2）「自動車の使用者は、自動車検査証の有効期間の満了後も当該自動車を使用しようとするときは、当該自動車を提示して、国土交通大臣の行う継続検査を受けなけ…」は本問の正答（3）とは異なるため不適です。;4:検査標章には検査証の有効期間満了時期が表示される。 選択肢（4）「検査標章には、国土交通省令で定めるところにより、その交付の際の当該自動車検査証の有効期間の満了する時期が表示されている。」は本問の正答（3）とは異なるため不適です。,,
